datetime,bottom_temperature,stratified,thermocline_depth_smooth,thermocline_depth,hypo_temp
2000-06-19T00:00:00Z,14.962539,1,6.13816545727344,6.926591944496143,15.63426963154171
2000-06-20T00:00:00Z,15.10622,1,6.037601266935535,6.917154298986011,15.764174065832378
2000-06-21T00:00:00Z,15.249369,1,5.934283196020326,6.904706888396523,15.890101853757205
2000-06-22T00:00:00Z,15.390852,1,5.83119567521394,6.888537272557717,16.013169949371573
2000-06-23T00:00:00Z,15.529792,1,5.731323135202505,6.867300332190641,16.13464005174829
2000-06-24T00:00:00Z,15.665537,1,5.637650006672153,6.839039745871515,16.25444487915044
2000-06-25T00:00:00Z,15.797629,1,5.553160720309011,6.8025678814263655,16.373432925731528
2000-06-26T00:00:00Z,15.925773,1,5.480839706799205,6.757365652612913,16.49372045319573
2000-06-27T00:00:00Z,16.049819,1,5.423671396828869,6.702684469035516,16.61374709488362
2000-06-28T00:00:00Z,16.169734,1,5.384640221084128,6.638037393318176,16.736022947190165
2000-06-29T00:00:00Z,16.285586,1,5.356023075048756,6.563007613316087,16.859814864826117
2000-06-30T00:00:00Z,16.39752,1,5.328179358708576,6.477271384772278,16.985856669382574
2000-07-01T00:00:00Z,16.505742,1,5.3012172595027875,2.6166901212109095,20.611291785402102
2000-07-02T00:00:00Z,16.610499,1,5.27524496487059,2.3559760996297485,21.147715027251703
2000-07-03T00:00:00Z,16.712067,1,5.250370662251188,2.3291517296872746,21.284062517141344
2000-07-04T00:00:00Z,16.810734,1,5.22670253908378,2.2962932289378,21.431900198060088
2000-07-05T00:00:00Z,16.906789,1,5.204348782807568,2.5456714366964723,21.137016356354085
2000-07-06T00:00:00Z,17.000515,1,5.183417580861753,3.118941125451982,20.356703242461997
2000-07-07T00:00:00Z,17.09218,1,5.164017120685536,3.2820482117504466,20.242967705667976
2000-07-08T00:00:00Z,17.182035,1,5.146255589718118,4.037263487886639,19.4195395621234
2000-07-09T00:00:00Z,17.270312,1,5.130241175398698,4.130318016648542,19.448880437244167
2000-07-10T00:00:00Z,17.357221,1,5.116082065166482,4.172275336357293,19.49862290294048
2000-07-11T00:00:00Z,17.44296,1,5.103886446460666,4.364562872293659,19.457866201711195
2000-07-12T00:00:00Z,17.527719,1,5.093762506720454,4.950643270152067,19.006899330490572
2000-07-13T00:00:00Z,17.611685,1,5.085818433385045,5.008800695778536,19.06352115797419
2000-07-14T00:00:00Z,17.695065,1,5.0801624138936425,5.0159622805615,19.160355684869533
2000-07-15T00:00:00Z,17.778081,1,5.08112159225851,5.0216852849563605,19.255853254208528
2000-07-16T00:00:00Z,17.860952,1,5.091808812095689,5.056068612839221,19.386675226213512
2000-07-17T00:00:00Z,17.943884,1,5.110510810250033,5.337491747543192,19.365787049501044
2000-07-18T00:00:00Z,18.027186,1,5.135514323566402,5.4069221592423355,19.401959164960658
2000-07-19T00:00:00Z,18.11127,1,5.165106088889653,5.6807350846361055,19.263406241348438
2000-07-20T00:00:00Z,18.196459,1,5.197572843064641,5.968639149479758,19.12908291830675
2000-07-21T00:00:00Z,18.283035,1,5.231201322936227,5.980502574516088,19.226144254061676
2000-07-22T00:00:00Z,18.371214,1,5.264278265349266,5.993311767923296,19.318998267688272
2000-07-23T00:00:00Z,18.461053,1,5.295090407148617,6.007153733002905,19.40821291508592
2000-07-24T00:00:00Z,18.552459,1,5.321924485179137,6.020872591651793,19.495236829470112
2000-07-25T00:00:00Z,18.645246,1,5.343067236285683,6.034311282909362,19.579922838520766
2000-07-26T00:00:00Z,18.739174,1,5.356805397313113,6.047753508929583,19.6622335428994
2000-07-27T00:00:00Z,18.83398,1,5.361425705106284,6.0596631241751915,19.743552127425378
2000-07-28T00:00:00Z,18.929395,1,5.355214896510054,6.056093893044038,19.834130927187797
2000-07-29T00:00:00Z,19.025159,1,5.336459708369279,6.049400933023727,19.92465152453078
2000-07-30T00:00:00Z,19.12103,1,5.3034468775288195,6.042104825980694,20.013424118420826
2000-07-31T00:00:00Z,19.216783,1,5.262453310157406,6.033980627601304,20.100740927212247
2000-08-01T00:00:00Z,19.312218,1,5.2206541278717795,5.382192019197061,20.639085339766332
2000-08-02T00:00:00Z,19.407165,1,5.1776833906888085,6.09506375593883,20.25037760291872
2000-08-03T00:00:00Z,19.50154,1,5.133175158625367,6.122168503490375,20.326537314051947
2000-08-04T00:00:00Z,19.59539,1,5.0867634916983215,6.153455407237192,20.39280401530026
2000-08-05T00:00:00Z,19.688795,1,5.038082449924543,6.1850264703629625,20.456544914124745
2000-08-06T00:00:00Z,19.781779,1,4.9867660933209015,6.218077618676343,20.518322667596234
2000-08-07T00:00:00Z,19.874305,1,4.9324484819042675,6.253740320126687,20.57752439144643
2000-08-08T00:00:00Z,19.966282,1,4.8747636756915105,6.286937052468348,20.636654324181354
2000-08-09T00:00:00Z,20.057589,1,4.813345734699501,6.3117013764469645,20.699920698305878
2000-08-10T00:00:00Z,20.148094,1,4.747828718945108,6.306016051510813,20.777960891848853
2000-08-11T00:00:00Z,20.237664,1,4.677846688445202,6.169224773506249,20.922092788449735
2000-08-12T00:00:00Z,20.32618,1,4.603033703216654,4.106876225234985,22.214570148227494
2000-08-13T00:00:00Z,20.413544,1,4.523023823276331,4.099139859991009,22.28227552400292
2000-08-14T00:00:00Z,20.499683,1,4.437451108641106,4.22677343564488,22.25404135405152
2000-08-15T00:00:00Z,20.584554,1,4.345949619327849,4.803695254326025,21.938124017608136
2000-08-16T00:00:00Z,20.668133,1,4.248586784363239,4.763419351119275,22.023407993162277
2000-08-17T00:00:00Z,20.750422,1,4.145782215529499,6.103400056628448,21.401998994416054
2000-08-18T00:00:00Z,20.831948,1,4.03769824697681,6.959791187803335,21.17239732882836
2000-08-19T00:00:00Z,20.91576,1,3.924497212855356,7.003284531064698,21.248565366111162
2000-08-20T00:00:00Z,21.006084,1,NA,NA,NA
2000-08-21T00:00:00Z,21.289796,NA,NA,NA,NA
2000-08-22T00:00:00Z,20.911626,1,NA,NA,NA
2000-08-23T00:00:00Z,20.915637,NA,NA,NA,NA
2000-08-24T00:00:00Z,20.925627,1,NA,NA,NA
2000-08-25T00:00:00Z,20.945475,1,3.8063414473153157,2.0460709268667547,21.328169163993753
2000-08-26T00:00:00Z,20.96611,1,3.683393284506873,0.986,21.81643538703233
2000-08-27T00:00:00Z,20.987309,1,3.555815058580207,2.025127891086421,21.469889898978522
2000-08-28T00:00:00Z,21.008968,1,3.4237691036855002,2.038587081840912,21.540290697693596
2000-08-29T00:00:00Z,21.03085,1,3.287417753972936,2.0631175968957614,21.58216628279732
2000-08-30T00:00:00Z,21.052764,1,3.1469233435926927,2.067711899700227,21.641266444246696
2000-08-31T00:00:00Z,21.074605,1,3.002448206694954,1.8727834041658353,21.7997599736116
